number,cop.lake,cop.isol.date,worm.fam,worm.lake,worm.expo.date,plate,well.numb,date.dissected,infected.yes.no,cop.sex,numb.worm,note,,,,,,,,,,,,,,,
227,ech,10/15/18,ech3ax1a,ech,10/16/18,p8,2,11/04/18,n,f,0,,,,,,,,,,,,,,,,
228,ech,10/15/18,ech3ax1a,ech,10/16/18,p8,2,11/04/18,y,m,1,,,,,,,,,,,,,,,,
229,gos,10/15/16,g7ax1a,gos,10/16/18,p8,3,11/04/18,y,f,2,,,,,,,,,,,,,,,,
230,gos,10/15/16,g7ax1a,gos,10/16/18,p8,3,11/04/18,y,f,1,,,,,,,,,,,,,,,,
231,gos,10/15/16,g7ax1a,gos,10/16/18,p8,3,11/04/18,y,f,1,,,,,,,,,,,,,,,,
232,gos,10/15/16,g7ax1a,gos,10/16/18,p8,3,11/04/18,n,f,0,,,,,,,,,,,,,,,,
233,gos,10/15/16,g7ax1a,gos,10/16/18,p8,3,11/04/18,y,f,1,,,,,,,,,,,,,,,,
234,gos,10/15/16,g7ax1a,gos,10/16/18,p8,3,11/04/18,n,f,0,,,,,,,,,,,,,,,,
235,gos,10/15/16,g7ax1a,gos,10/16/18,p8,3,11/04/18,y,f,4,,,,,,,,,,,,,,,,
236,gos,10/15/16,g7ax1a,gos,10/16/18,p8,3,11/04/18,y,f,1,,,,,,,,,,,,,,,,
237,gos,10/15/16,g7ax1a,gos,10/16/18,p8,3,11/04/18,n,f,0,,,,,,,,,,,,,,,,
238,lau,10/12/18,boobulk,boo,10/16/18,p8,4,11/04/18,n,f,0,,,,,,,,,,,,,,,,
239,lau,10/12/18,boobulk,boo,10/16/18,p8,4,11/04/18,n,f,0,,,,,,,,,,,,,,,,
240,lau,10/12/18,boobulk,boo,10/16/18,p8,4,11/04/18,n,f,0,,,,,,,,,,,,,,,,
241,lau,10/12/18,boobulk,boo,10/16/18,p8,4,11/04/18,n,f,0,,,,,,,,,,,,,,,,
242,lau,10/12/18,boobulk,boo,10/16/18,p8,4,11/04/18,n,m,0,,,,,,,,,,,,,,,,
243,lau,10/12/18,boobulk,boo,10/16/18,p8,4,11/04/18,n,f,0,,,,,,,,,,,,,,,,
244,lau,10/12/18,boobulk,boo,10/16/18,p8,4,11/04/18,n,f,0,,,,,,,,,,,,,,,,
245,lau,10/12/18,boobulk,boo,10/16/18,p8,4,11/04/18,n,f,0,,,,,,,,,,,,,,,,
246,lau,10/12/18,boobulk,boo,10/16/18,p8,4,11/04/18,n,f,0,,,,,,,,,,,,,,,,
247,lau,10/12/18,boobulk,boo,10/16/18,p8,4,11/04/18,n,f,0,,,,,,,,,,,,,,,,
248,rob,10/08/18,echbulk,ech,10/16/18,,5,11/04/18,y,m,1,,,,,,,,,,,,,,,,
249,rob,10/08/18,echbulk,ech,10/16/18,,5,11/04/18,n,f,0,,,,,,,,,,,,,,,,
250,rob,10/08/18,echbulk,ech,10/16/18,,5,11/04/18,n,m,0,,,,,,,,,,,,,,,,
251,rob,10/08/18,echbulk,ech,10/16/18,,5,11/04/18,n,f,0,,,,,,,,,,,,,,,,
252,rob,10/08/18,echbulk,ech,10/16/18,,5,11/04/18,n,m,0,,,,,,,,,,,,,,,,
253,boo,10/04/18,boo11bx1a,boo,10/16/18,,6,11/04/18,n,f,0,,,,,,,,,,,,,,,,
254,boo,10/04/18,boo11bx1a,boo,10/16/18,,6,11/04/18,n,f,0,,,,,,,,,,,,,,,,
255,boo,10/04/18,boo11bx1a,boo,10/16/18,,6,11/04/18,n,f,0,,,,,,,,,,,,,,,,
256,boo,10/04/18,boo11bx1a,boo,10/16/18,,6,11/04/18,n,f,0,,,,,,,,,,,,,,,,
257,boo,10/04/18,boo11bx1a,boo,10/16/18,,6,11/04/18,n,f,0,,,,,,,,,,,,,,,,
258,boo,10/04/18,boo11bx1a,boo,10/16/18,,6,11/04/18,n,f,0,,,,,,,,,,,,,,,,
259,boo,10/04/18,boo11bx1a,boo,10/16/18,,6,11/04/18,n,f,0,,,,,,,,,,,,,,,,
260,gos,10/14/18,echbulk,ech,10/16/18,p45,1,11/05/18,n,f,0,,,,,,,,,,,,,,,,
261,gos,10/14/18,echbulk,ech,10/16/18,p45,1,11/05/18,y,f,2,,,,,,,,,,,,,,,,
262,gos,10/14/18,echbulk,ech,10/16/18,p45,1,11/05/18,y,f,1,,,,,,,,,,,,,,,,
263,gos,10/14/18,echbulk,ech,10/16/18,p45,1,11/05/18,y,f,1,,,,,,,,,,,,,,,,
264,gos,10/14/18,echbulk,ech,10/16/18,p45,1,11/05/18,n,f,0,,,,,,,,,,,,,,,,
265,gos,10/14/18,echbulk,ech,10/16/18,p45,1,11/05/18,n,f,0,,,,,,,,,,,,,,,,
266,gos,10/14/18,echbulk,ech,10/16/18,p45,1,11/05/18,y,f,1,,,,,,,,,,,,,,,,
267,gos,10/14/18,echbulk,ech,10/16/18,p45,1,11/05/18,y,f,2,,,,,,,,,,,,,,,,
268,boo,10/04/18,boobulk,boo,10/16/18,p45,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
269,boo,10/04/18,boobulk,boo,10/16/18,p45,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
270,boo,10/04/18,boobulk,boo,10/16/18,p45,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
271,boo,10/04/18,boobulk,boo,10/16/18,p45,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
272,boo,10/04/18,boobulk,boo,10/16/18,p45,2,11/05/18,y,f,1,,,,,,,,,,,,,,,,
273,boo,10/04/18,boobulk,boo,10/16/18,p45,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
274,boo,10/04/18,boobulk,boo,10/16/18,p45,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
275,lau,10/11/18,boo2ax2c,boo,10/16/18,p45,3,11/05/18,n,f,0,,,,,,,,,,,,,,,,
276,lau,10/11/18,boo2ax2c,boo,10/16/18,p45,3,11/05/18,n,m,0,,,,,,,,,,,,,,,,
277,lau,10/11/18,boo2ax2c,boo,10/16/18,p45,3,11/05/18,n,f,0,,,,,,,,,,,,,,,,
278,lau,10/11/18,boo2ax2c,boo,10/16/18,p45,3,11/05/18,n,f,0,,,,,,,,,,,,,,,,
279,lau,10/11/18,boo2ax2c,boo,10/16/18,p45,3,11/05/18,n,m,0,,,,,,,,,,,,,,,,
280,lau,10/11/18,boo2ax2c,boo,10/16/18,p45,3,11/05/18,n,m,0,,,,,,,,,,,,,,,,
281,lau,10/11/18,boo2ax2c,boo,10/16/18,p45,3,11/05/18,n,f,0,,,,,,,,,,,,,,,,
282,lau,10/11/18,boo2ax2c,boo,10/16/18,p45,3,11/05/18,n,f,0,,,,,,,,,,,,,,,,
283,lau,10/11/18,boo2ax2c,boo,10/16/18,p45,3,11/05/18,n,m,0,,,,,,,,,,,,,,,,
284,ech,10/14/18,g7ax1a,gos,10/16/18,p45,4,11/05/18,y,f,1,,,,,,,,,,,,,,,,
285,ech,10/14/18,g7ax1a,gos,10/16/18,p45,4,11/05/18,y,m,1,,,,,,,,,,,,,,,,
286,ech,10/14/18,g7ax1a,gos,10/16/18,p45,4,11/05/18,y,f,1,,,,,,,,,,,,,,,,
287,ech,10/14/18,g7ax1a,gos,10/16/18,p45,4,11/05/18,n,f,0,,,,,,,,,,,,,,,,
288,ech,10/14/18,g7ax1a,gos,10/16/18,p45,4,11/05/18,n,m,0,,,,,,,,,,,,,,,,
289,ech,10/14/18,g7ax1a,gos,10/16/18,p45,4,11/05/18,n,f,0,,,,,,,,,,,,,,,,
290,ech,10/14/18,g7ax1a,gos,10/16/18,p45,4,11/05/18,n,f,0,,,,,,,,,,,,,,,,
291,ech,10/14/18,g7ax1a,gos,10/16/18,p45,4,11/05/18,y,m,1,,,,,,,,,,,,,,,,
292,ech,10/14/18,g7ax1a,gos,10/16/18,p45,4,11/05/18,n,f,0,,,,,,,,,,,,,,,,
293,ech,10/14/18,g7ax1a,gos,10/16/18,p45,4,11/05/18,n,f,0,,,,,,,,,,,,,,,,
294,ech,10/14/18,g7ax1a,gos,10/16/18,p45,4,11/05/18,y,f,1,,,,,,,,,,,,,,,,
295,rob,10/06/18,boo11bx1a,boo,10/16/18,p45,6,11/05/18,n,f,0,,,,,,,,,,,,,,,,
296,gos,10/14/18,g7ax1a,gos,10/16/18,p31,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
297,gos,10/14/18,g7ax1a,gos,10/16/18,p31,2,11/05/18,y,f,3,,,,,,,,,,,,,,,,
298,gos,10/14/18,g7ax1a,gos,10/16/18,p31,2,11/05/18,y,f,1,,,,,,,,,,,,,,,,
299,gos,10/14/18,g7ax1a,gos,10/16/18,p31,2,11/05/18,y,f,2,,,,,,,,,,,,,,,,
300,gos,10/14/18,g7ax1a,gos,10/16/18,p31,2,11/05/18,y,f,2,,,,,,,,,,,,,,,,
301,gos,10/14/18,g7ax1a,gos,10/16/18,p31,2,11/05/18,y,f,3,,,,,,,,,,,,,,,,
302,gos,10/14/18,g7ax1a,gos,10/16/18,p31,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
303,gos,10/14/18,g7ax1a,gos,10/16/18,p31,2,11/05/18,y,f,1,,,,,,,,,,,,,,,,
304,gos,10/14/18,g7ax1a,gos,10/16/18,p31,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
305,gos,10/14/18,g7ax1a,gos,10/16/18,p31,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
306,rob,10/6/18,echbulk,ech,10/16/18,p31,3,11/05/18,n,f,0,,,,,,,,,,,,,,,,
307,rob,10/6/18,echbulk,ech,10/16/18,p31,3,11/05/18,n,f,0,,,,,,,,,,,,,,,,
308,boo,10/04/18,boo11bx1a,boo,10/16/18,p31,4,11/05/18,y,f,1,,,,,,,,,,,,,,,,
309,boo,10/04/18,boo11bx1a,boo,10/16/18,p31,4,11/05/18,n,f,0,,,,,,,,,,,,,,,,
310,boo,10/04/18,boo11bx1a,boo,10/16/18,p31,4,11/05/18,n,f,0,,,,,,,,,,,,,,,,
311,boo,10/04/18,boo11bx1a,boo,10/16/18,p31,4,11/05/18,n,f,0,,,,,,,,,,,,,,,,
312,boo,10/04/18,boo11bx1a,boo,10/16/18,p31,4,11/05/18,n,f,0,,,,,,,,,,,,,,,,
313,lau,10/11/18,boobulk,boo,10/16/18,p31,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
314,lau,10/11/18,boobulk,boo,10/16/18,p31,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
315,lau,10/11/18,boobulk,boo,10/16/18,p31,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
316,lau,10/11/18,boobulk,boo,10/16/18,p31,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
317,lau,10/11/18,boobulk,boo,10/16/18,p31,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
318,lau,10/11/18,boobulk,boo,10/16/18,p31,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
319,lau,10/11/18,boobulk,boo,10/16/18,p31,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
320,lau,10/11/18,boobulk,boo,10/16/18,p31,5,11/05/18,y,f,1,,,,,,,,,,,,,,,,
321,lau,10/11/18,boobulk,boo,10/16/18,p31,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
322,ech,10/14/18,ech3ax1a,ech,10/16/18,p31,6,11/05/18,n,f,0,,,,,,,,,,,,,,,,
323,ech,10/14/18,ech3ax1a,ech,10/16/18,p31,6,11/05/18,y,f,1,,,,,,,,,,,,,,,,
324,ech,10/14/18,ech3ax1a,ech,10/16/18,p31,6,11/05/18,y,f,2,,,,,,,,,,,,,,,,
325,ech,10/14/18,ech3ax1a,ech,10/16/18,p31,6,11/05/18,n,m,0,,,,,,,,,,,,,,,,
326,ech,10/14/18,ech3ax1a,ech,10/16/18,p31,6,11/05/18,n,f,0,,,,,,,,,,,,,,,,
327,ech,10/14/18,ech3ax1a,ech,10/16/18,p31,6,11/05/18,y,f,1,,,,,,,,,,,,,,,,
328,ech,10/14/18,ech3ax1a,ech,10/16/18,p31,6,11/05/18,y,f,4,,,,,,,,,,,,,,,,
329,ech,10/14/18,ech3ax1a,ech,10/16/18,p31,6,11/05/18,n,f,0,,,,,,,,,,,,,,,,
330,ech,10/15/18,ech3ax1a,ech,10/16/18,p27,1,11/05/18,y,f,3,,,,,,,,,,,,,,,,
331,ech,10/15/18,ech3ax1a,ech,10/16/18,p27,1,11/05/18,y,f,2,,,,,,,,,,,,,,,,
332,ech,10/15/18,ech3ax1a,ech,10/16/18,p27,1,11/05/18,n,f,0,,,,,,,,,,,,,,,,
333,ech,10/15/18,ech3ax1a,ech,10/16/18,p27,1,11/05/18,n,f,0,,,,,,,,,,,,,,,,
334,ech,10/15/18,ech3ax1a,ech,10/16/18,p27,1,11/05/18,n,f,0,,,,,,,,,,,,,,,,
335,ech,10/15/18,ech3ax1a,ech,10/16/18,p27,1,11/05/18,n,f,0,,,,,,,,,,,,,,,,
336,ech,10/15/18,ech3ax1a,ech,10/16/18,p27,1,11/05/18,y,f,1,,,,,,,,,,,,,,,,
337,ech,10/15/18,ech3ax1a,ech,10/16/18,p27,1,11/05/18,y,f,2,,,,,,,,,,,,,,,,
338,ech,10/15/18,ech3ax1a,ech,10/16/18,p27,1,11/05/18,y,m,1,,,,,,,,,,,,,,,,
339,rob,10/08/18,echbulk,ech,10/16/18,p27,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
340,gos,10/15/18,g7ax1a,gos,10/16/18,p27,3,11/05/18,y,f,2,,,,,,,,,,,,,,,,
341,gos,10/15/18,g7ax1a,gos,10/16/18,p27,3,11/05/18,y,f,3,,,,,,,,,,,,,,,,
342,gos,10/15/18,g7ax1a,gos,10/16/18,p27,3,11/05/18,y,f,4,,,,,,,,,,,,,,,,
343,gos,10/15/18,g7ax1a,gos,10/16/18,p27,3,11/05/18,y,f,2,,,,,,,,,,,,,,,,
344,gos,10/15/18,g7ax1a,gos,10/16/18,p27,3,11/05/18,y,f,3,,,,,,,,,,,,,,,,
345,gos,10/15/18,g7ax1a,gos,10/16/18,p27,3,11/05/18,n,f,0,,,,,,,,,,,,,,,,
346,gos,10/15/18,g7ax1a,gos,10/16/18,p27,3,11/05/18,n,f,0,,,,,,,,,,,,,,,,
347,gos,10/15/18,g7ax1a,gos,10/16/18,p27,3,11/05/18,y,f,1,,,,,,,,,,,,,,,,
348,boo,10/04/18,boo11bx1a,boo,10/16/18,p27,4,11/05/18,n,f,0,,,,,,,,,,,,,,,,
349,boo,10/04/18,boo11bx1a,boo,10/16/18,p27,4,11/05/18,n,f,0,,,,,,,,,,,,,,,,
350,boo,10/04/18,boo11bx1a,boo,10/16/18,p27,4,11/05/18,n,f,0,,,,,,,,,,,,,,,,
351,boo,10/04/18,boo11bx1a,boo,10/16/18,p27,4,11/05/18,n,f,0,,,,,,,,,,,,,,,,
352,lau,10/15/18,boobulk,boo,10/16/18,p27,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
353,lau,10/15/18,boobulk,boo,10/16/18,p27,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
354,lau,10/15/18,boobulk,boo,10/16/18,p27,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
355,lau,10/15/18,boobulk,boo,10/16/18,p27,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
356,lau,10/15/18,boobulk,boo,10/16/18,p27,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
357,lau,10/15/18,boobulk,boo,10/16/18,p27,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
358,lau,10/15/18,boobulk,boo,10/16/18,p27,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
359,lau,10/15/18,boobulk,boo,10/16/18,p27,5,11/05/18,y,m,1,,,,,,,,,,,,,,,,
360,gos,10/15/18,boo2ax2c,boo,10/17/18,p26,1,11/05/18,y,f,0,,,,,,,,,,,,,,,,
361,gos,10/15/18,boo2ax2c,boo,10/17/18,p26,1,11/05/18,n,f,0,,,,,,,,,,,,,,,,
362,gos,10/15/18,boo2ax2c,boo,10/17/18,p26,1,11/05/18,y,f,2,,,,,,,,,,,,,,,,
363,gos,10/15/18,boo2ax2c,boo,10/17/18,p26,1,11/05/18,y,f,1,,,,,,,,,,,,,,,,
364,gos,10/15/18,boo2ax2c,boo,10/17/18,p26,1,11/05/18,y,f,1,,,,,,,,,,,,,,,,
365,gos,10/15/18,boo2ax2c,boo,10/17/18,p26,1,11/05/18,y,f,1,,,,,,,,,,,,,,,,
366,gos,10/15/18,boo2ax2c,boo,10/17/18,p26,1,11/05/18,y,f,2,,,,,,,,,,,,,,,,
367,gos,10/15/18,boo2ax2c,boo,10/17/18,p26,1,11/05/18,y,f,4,,,,,,,,,,,,,,,,
368,gos,10/15/18,boo2ax2c,boo,10/17/18,p26,1,11/05/18,n,f,0,,,,,,,,,,,,,,,,
369,lau,10/11/18,echbulk,ech,10/17/18,p26,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
370,lau,10/11/18,echbulk,ech,10/17/18,p26,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
371,lau,10/11/18,echbulk,ech,10/17/18,p26,5,11/05/18,n,m,0,,,,,,,,,,,,,,,,
372,lau,10/11/18,echbulk,ech,10/17/18,p26,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
373,lau,10/11/18,echbulk,ech,10/17/18,p26,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
374,lau,10/11/18,echbulk,ech,10/17/18,p26,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
375,lau,10/11/18,echbulk,ech,10/17/18,p26,5,11/05/18,n,f,0,,,,,,,,,,,,,,,,
376,ech,10/15/18,boo11bx1a,boo,10/17/18,p26,6,11/05/18,y,f,1,,,,,,,,,,,,,,,,
377,ech,10/15/18,boo11bx1a,boo,10/17/18,p26,6,11/05/18,n,f,0,,,,,,,,,,,,,,,,
378,ech,10/15/18,boo11bx1a,boo,10/17/18,p26,6,11/05/18,y,f,3,,,,,,,,,,,,,,,,
379,ech,10/15/18,boo11bx1a,boo,10/17/18,p26,6,11/05/18,y,f,2,,,,,,,,,,,,,,,,
380,ech,10/15/18,boo11bx1a,boo,10/17/18,p26,6,11/05/18,y,m,2,,,,,,,,,,,,,,,,
381,ech,10/15/18,boo11bx1a,boo,10/17/18,p26,6,11/05/18,y,f,2,,,,,,,,,,,,,,,,
382,ech,10/15/18,boo11bx1a,boo,10/17/18,p26,6,11/05/18,n,f,0,,,,,,,,,,,,,,,,
383,ech,10/15/18,boo11bx1a,boo,10/17/18,p26,6,11/05/18,y,f,5,,,,,,,,,,,,,,,,
384,ech,10/15/18,boo11bx1a,boo,10/17/18,p26,6,11/05/18,n,f,0,,,,,,,,,,,,,,,,
385,lau,10/11/18,echbulk,ech,10/17/18,p44,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
386,lau,10/11/18,echbulk,ech,10/17/18,p44,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
387,lau,10/11/18,echbulk,ech,10/17/18,p44,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
388,lau,10/11/18,echbulk,ech,10/17/18,p44,2,11/05/18,n,m,0,,,,,,,,,,,,,,,,
389,lau,10/11/18,echbulk,ech,10/17/18,p44,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
390,lau,10/11/18,echbulk,ech,10/17/18,p44,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
391,lau,10/11/18,echbulk,ech,10/17/18,p44,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
392,ech,10/14/18,boo11bx1a,boo,10/17/18,p44,3,11/05/18,y,f,2,,,,,,,,,,,,,,,,
393,ech,10/14/18,boo11bx1a,boo,10/17/18,p44,3,11/05/18,y,f,3,,,,,,,,,,,,,,,,
394,ech,10/14/18,boo11bx1a,boo,10/17/18,p44,3,11/05/18,n,f,0,,,,,,,,,,,,,,,,
395,ech,10/14/18,boo11bx1a,boo,10/17/18,p44,3,11/05/18,y,f,1,,,,,,,,,,,,,,,,
396,ech,10/14/18,boo11bx1a,boo,10/17/18,p44,3,11/05/18,n,f,0,,,,,,,,,,,,,,,,
397,ech,10/14/18,boo11bx1a,boo,10/17/18,p44,3,11/05/18,n,f,0,,,,,,,,,,,,,,,,
398,ech,10/14/18,boo11bx1a,boo,10/17/18,p44,3,11/05/18,n,f,0,,,,,,,,,,,,,,,,
399,ech,10/14/18,boo11bx1a,boo,10/17/18,p44,3,11/05/18,y,f,1,,,,,,,,,,,,,,,,
400,ech,10/14/18,boo11bx1a,boo,10/17/18,p44,3,11/05/18,n,m,0,,,,,,,,,,,,,,,,
401,gos,10/14/18,boo2ax2c,boo,10/17/18,p44,5,11/05/18,y,m,1,,,,,,,,,,,,,,,,
402,gos,10/14/18,boo2ax2c,boo,10/17/18,p44,5,11/05/18,y,m,1,,,,,,,,,,,,,,,,
403,gos,10/14/18,boo2ax2c,boo,10/17/18,p44,5,11/05/18,y,f,2,,,,,,,,,,,,,,,,
404,gos,10/14/18,boo2ax2c,boo,10/17/18,p44,5,11/05/18,y,f,2,,,,,,,,,,,,,,,,
405,gos,10/14/18,boo2ax2c,boo,10/17/18,p44,5,11/05/18,y,f,2,,,,,,,,,,,,,,,,
406,gos,10/14/18,boo2ax2c,boo,10/17/18,p44,5,11/05/18,y,f,3,,,,,,,,,,,,,,,,
407,gos,10/14/18,boo2ax2c,boo,10/17/18,p44,5,11/05/18,y,f,1,,,,,,,,,,,,,,,,
408,gos,10/14/18,boo2ax2c,boo,10/17/18,p44,5,11/05/18,y,f,1,,,,,,,,,,,,,,,,
409,ech,10/15/18,echbulk,ech,10/17/18,p3,2,11/05/18,y,f,3,,,,,,,,,,,,,,,,
410,ech,10/15/18,echbulk,ech,10/17/18,p3,2,11/05/18,y,f,1,,,,,,,,,,,,,,,,
411,ech,10/15/18,echbulk,ech,10/17/18,p3,2,11/05/18,y,f,2,,,,,,,,,,,,,,,,
412,ech,10/15/18,echbulk,ech,10/17/18,p3,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
413,ech,10/15/18,echbulk,ech,10/17/18,p3,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
414,ech,10/15/18,echbulk,ech,10/17/18,p3,2,11/05/18,y,f,1,,,,,,,,,,,,,,,,
415,ech,10/15/18,echbulk,ech,10/17/18,p3,2,11/05/18,n,f,0,,,,,,,,,,,,,,,,
416,ech,10/15/18,echbulk,ech,10/17/18,p3,2,11/05/18,y,f,1,,,,,,,,,,,,,,,,
417,gos,10/15/18,ech27ax31a,ech,10/17/18,p6,1,11/05/18,y,f,1,,,,,,,,,,,,,,,,
418,gos,10/15/18,ech27ax31a,ech,10/17/18,p6,1,11/05/18,y,f,1,,,,,,,,,,,,,,,,
419,gos,10/15/18,ech27ax31a,ech,10/17/18,p6,1,11/05/18,n,f,0,,,,,,,,,,,,,,,,
420,gos,10/15/18,ech27ax31a,ech,10/17/18,p6,1,11/05/18,n,f,0,,,,,,,,,,,,,,,,
421,gos,10/15/18,ech27ax31a,ech,10/17/18,p6,1,11/05/18,n,f,0,,,,,,,,,,,,,,,,
422,gos,10/15/18,ech27ax31a,ech,10/17/18,p6,1,11/05/18,n,f,0,,,,,,,,,,,,,,,,
423,gos,10/15/18,ech27ax31a,ech,10/17/18,p6,1,11/05/18,n,f,0,,,,,,,,,,,,,,,,
424,gos,10/15/18,ech27ax31a,ech,10/17/18,p6,1,11/05/18,y,f,1,,,,,,,,,,,,,,,,
425,gos,10/15/18,ech27ax31a,ech,10/17/18,p6,1,11/05/18,n,f,0,,,,,,,,,,,,,,,,
426,gos,10/15/18,ech27ax31a,ech,10/17/18,p6,1,11/05/18,y,f,1,,,,,,,,,,,,,,,,
427,lau,10/09/18,echbulk,ech,10/17/18,p24,2,11/06/18,n,f,0,,,,,,,,,,,,,,,,
428,lau,10/09/18,echbulk,ech,10/17/18,p24,2,11/06/18,n,f,0,,,,,,,,,,,,,,,,
429,lau,10/09/18,echbulk,ech,10/17/18,p24,2,11/06/18,n,f,0,,,,,,,,,,,,,,,,
430,lau,10/09/18,echbulk,ech,10/17/18,p24,2,11/06/18,n,f,0,,,,,,,,,,,,,,,,
431,lau,10/09/18,echbulk,ech,10/17/18,p24,2,11/06/18,y,f,1,,,,,,,,,,,,,,,,
432,lau,10/09/18,echbulk,ech,10/17/18,p24,2,11/06/18,n,m,0,,,,,,,,,,,,,,,,
433,ech,10/15/18,boo11bx1a,boo,10/17/18,p24,4,11/06/18,y,f,4,,,,,,,,,,,,,,,,
434,ech,10/15/18,boo11bx1a,boo,10/17/18,p24,4,11/06/18,y,f,3,,,,,,,,,,,,,,,,
435,ech,10/15/18,boo11bx1a,boo,10/17/18,p24,4,11/06/18,y,f,2,,,,,,,,,,,,,,,,
436,ech,10/15/18,boo11bx1a,boo,10/17/18,p24,4,11/06/18,n,f,0,,,,,,,,,,,,,,,,
437,ech,10/15/18,boo11bx1a,boo,10/17/18,p24,4,11/06/18,y,f,1,,,,,,,,,,,,,,,,
438,ech,10/15/18,boo11bx1a,boo,10/17/18,p24,4,11/06/18,y,f,3,,,,,,,,,,,,,,,,
439,ech,10/15/18,boo11bx1a,boo,10/17/18,p24,4,11/06/18,y,f,1,,,,,,,,,,,,,,,,
440,ech,10/15/18,boo11bx1a,boo,10/17/18,p24,4,11/06/18,y,f,1,,,,,,,,,,,,,,,,
441,ech,10/15/18,boo11bx1a,boo,10/17/18,p24,4,11/06/18,y,f,1,,,,,,,,,,,,,,,,
442,ech,10/15/18,boo11bx1a,boo,10/17/18,p24,4,11/06/18,y,f,2,,,,,,,,,,,,,,,,
443,gos,10/14/18,boo2ax2c,boo,10/17/18,p24,6,11/06/18,n,f,0,,,,,,,,,,,,,,,,
444,gos,10/14/18,boo2ax2c,boo,10/17/18,p24,6,11/06/18,y,f,2,,,,,,,,,,,,,,,,
445,gos,10/14/18,boo2ax2c,boo,10/17/18,p24,6,11/06/18,y,f,2,,,,,,,,,,,,,,,,
446,gos,10/14/18,boo2ax2c,boo,10/17/18,p24,6,11/06/18,y,f,3,,,,,,,,,,,,,,,,
447,gos,10/14/18,boo2ax2c,boo,10/17/18,p24,6,11/06/18,y,f,1,,,,,,,,,,,,,,,,
448,gos,10/14/18,boo2ax2c,boo,10/17/18,p24,6,11/06/18,n,f,0,,,,,,,,,,,,,,,,
449,ech,10/14/18,echbulk,ech,10/17/18,p39,4,11/06/18,y,f,1,,,,,,,,,,,,,,,,
450,ech,10/14/18,echbulk,ech,10/17/18,p39,4,11/06/18,y,f,1,,,,,,,,,,,,,,,,
451,ech,10/14/18,echbulk,ech,10/17/18,p39,4,11/06/18,y,f,1,,,,,,,,,,,,,,,,
452,ech,10/14/18,echbulk,ech,10/17/18,p39,4,11/06/18,y,f,2,,,,,,,,,,,,,,,,
453,ech,10/14/18,echbulk,ech,10/17/18,p39,4,11/06/18,y,f,1,,,,,,,,,,,,,,,,
454,ech,10/14/18,echbulk,ech,10/17/18,p39,4,11/06/18,y,f,1,,,,,,,,,,,,,,,,
455,ech,10/14/18,echbulk,ech,10/17/18,p39,4,11/06/18,y,m,1,,,,,,,,,,,,,,,,
456,ech,10/14/18,echbulk,ech,10/17/18,p39,4,11/06/18,y,m,1,,,,,,,,,,,,,,,,
457,ech,10/14/18,echbulk,ech,10/17/18,p39,4,11/06/18,y,f,1,,,,,,,,,,,,,,,,
458,gos,10/14/18,boo11bx1a,boo,10/17/18,p39,6,11/06/18,n,f,0,,,,,,,,,,,,,,,,
459,gos,10/14/18,boo11bx1a,boo,10/17/18,p39,6,11/06/18,y,m,2,,,,,,,,,,,,,,,,
