number,cop.lake,worm.fam,worm.lake,plate,numb.worm,native,genus
119,rob,boo11bx1a,boo,p5,1,FALSE,M
120,boo,boobulk,boo,p5,0,TRUE,M
121,boo,boobulk,boo,p5,0,TRUE,M
122,boo,boobulk,boo,p5,1,TRUE,M
123,boo,boobulk,boo,p5,0,TRUE,M
124,boo,boobulk,boo,p5,1,TRUE,M
125,boo,boobulk,boo,p5,1,TRUE,M
126,boo,boobulk,boo,p5,1,TRUE,M
127,lau,boo2ax2c,boo,p5,1,FALSE,M
128,lau,boo2ax2c,boo,p5,0,FALSE,M
129,lau,boo2ax2c,boo,p5,0,FALSE,M
130,lau,boo2ax2c,boo,p5,0,FALSE,M
131,lau,boo2ax2c,boo,p5,0,FALSE,M
132,lau,boo2ax2c,boo,p5,0,FALSE,M
133,lau,boo2ax2c,boo,p5,0,FALSE,M
134,lau,boo2ax2c,boo,p5,0,FALSE,M
135,lau,boo2ax2c,boo,p5,0,FALSE,M
136,ech,g7ax1a,gos,p5,0,FALSE,A
137,ech,g7ax1a,gos,p5,0,FALSE,A
138,ech,g7ax1a,gos,p5,1,FALSE,A
139,ech,g7ax1a,gos,p5,1,FALSE,A
140,ech,g7ax1a,gos,p5,1,FALSE,A
141,ech,g7ax1a,gos,p5,0,FALSE,A
142,ech,g7ax1a,gos,p5,1,FALSE,A
143,ech,g7ax1a,gos,p5,2,FALSE,A
144,ech,g7ax1a,gos,p5,0,FALSE,A
145,gos,echbulk,ech,p5,0,FALSE,A
146,gos,echbulk,ech,p5,0,FALSE,A
147,gos,echbulk,ech,p5,2,FALSE,A
148,gos,echbulk,ech,p5,1,FALSE,A
149,gos,echbulk,ech,p5,3,FALSE,A
150,gos,echbulk,ech,p5,1,FALSE,A
151,gos,echbulk,ech,p5,1,FALSE,A
152,gos,echbulk,ech,p2,2,FALSE,A
153,gos,echbulk,ech,p2,2,FALSE,A
154,gos,echbulk,ech,p2,0,FALSE,A
155,gos,echbulk,ech,p2,2,FALSE,A
156,gos,echbulk,ech,p2,2,FALSE,A
157,gos,echbulk,ech,p2,1,FALSE,A
158,gos,echbulk,ech,p2,0,FALSE,A
159,gos,echbulk,ech,p2,1,FALSE,A
160,gos,echbulk,ech,p2,0,FALSE,A
161,rob,boo11bx1a,boo,p2,0,FALSE,M
162,rob,boo11bx1a,boo,p2,0,FALSE,M
163,boo,boobulk,boo,p2,0,TRUE,M
164,boo,boobulk,boo,p2,0,TRUE,M
165,boo,boobulk,boo,p2,0,TRUE,M
166,boo,boobulk,boo,p2,0,TRUE,M
167,boo,boobulk,boo,p2,0,TRUE,M
168,lau,boo2ax2c,boo,p2,0,FALSE,M
169,lau,boo2ax2c,boo,p2,0,FALSE,M
170,lau,boo2ax2c,boo,p2,0,FALSE,M
171,lau,boo2ax2c,boo,p2,0,FALSE,M
172,lau,boo2ax2c,boo,p2,0,FALSE,M
173,lau,boo2ax2c,boo,p2,0,FALSE,M
174,lau,boo2ax2c,boo,p2,0,FALSE,M
175,lau,boo2ax2c,boo,p2,0,FALSE,M
176,ech,g7ax1a,gos,p2,1,FALSE,A
177,ech,g7ax1a,gos,p2,3,FALSE,A
178,ech,g7ax1a,gos,p2,1,FALSE,A
179,ech,g7ax1a,gos,p2,1,FALSE,A
180,ech,g7ax1a,gos,p2,1,FALSE,A
181,ech,g7ax1a,gos,p2,0,FALSE,A
182,ech,g7ax1a,gos,p2,0,FALSE,A
183,ech,g7ax1a,gos,p2,0,FALSE,A
184,lau,boobulk,boo,p20,0,FALSE,M
185,lau,boobulk,boo,p20,0,FALSE,M
186,lau,boobulk,boo,p20,0,FALSE,M
187,lau,boobulk,boo,p20,0,FALSE,M
188,lau,boobulk,boo,p20,0,FALSE,M
189,lau,boobulk,boo,p20,0,FALSE,M
190,lau,boobulk,boo,p20,0,FALSE,M
191,lau,boobulk,boo,p20,0,FALSE,M
192,ech,ech3ax1a,ech,p20,3,TRUE,A
193,ech,ech3ax1a,ech,p20,0,TRUE,A
194,ech,ech3ax1a,ech,p20,1,TRUE,A
195,ech,ech3ax1a,ech,p20,1,TRUE,A
196,ech,ech3ax1a,ech,p20,1,TRUE,A
197,ech,ech3ax1a,ech,p20,2,TRUE,A
198,ech,ech3ax1a,ech,p20,1,TRUE,A
199,ech,ech3ax1a,ech,p20,2,TRUE,A
200,ech,ech3ax1a,ech,p20,1,TRUE,A
201,rob,echbulk,ech,p20,0,FALSE,M
202,rob,echbulk,ech,p20,0,FALSE,M
203,boo,boo11bx1a,boo,p20,0,TRUE,M
204,boo,boo11bx1a,boo,p20,0,TRUE,M
205,boo,boo11bx1a,boo,p20,0,TRUE,M
206,boo,boo11bx1a,boo,p20,0,TRUE,M
207,boo,boo11bx1a,boo,p20,0,TRUE,M
208,boo,boo11bx1a,boo,p20,0,TRUE,M
209,boo,boo11bx1a,boo,p20,0,TRUE,M
210,boo,boo11bx1a,boo,p20,0,TRUE,M
211,gos,g7ax1a,gos,p20,0,TRUE,A
212,gos,g7ax1a,gos,p20,0,TRUE,A
213,gos,g7ax1a,gos,p20,0,TRUE,A
214,gos,g7ax1a,gos,p20,1,TRUE,A
215,gos,g7ax1a,gos,p20,0,TRUE,A
216,gos,g7ax1a,gos,p20,1,TRUE,A
217,gos,g7ax1a,gos,p20,1,TRUE,A
218,gos,g7ax1a,gos,p20,1,TRUE,A
219,gos,g7ax1a,gos,p20,0,TRUE,A
220,ech,ech3ax1a,ech,p8,1,TRUE,A
221,ech,ech3ax1a,ech,p8,0,TRUE,A
222,ech,ech3ax1a,ech,p8,2,TRUE,A
223,ech,ech3ax1a,ech,p8,0,TRUE,A
224,ech,ech3ax1a,ech,p8,0,TRUE,A
225,ech,ech3ax1a,ech,p8,1,TRUE,A
226,ech,ech3ax1a,ech,p8,3,TRUE,A
227,ech,ech3ax1a,ech,p8,0,TRUE,A
228,ech,ech3ax1a,ech,p8,1,TRUE,A
229,gos,g7ax1a,gos,p8,2,TRUE,A
230,gos,g7ax1a,gos,p8,1,TRUE,A
231,gos,g7ax1a,gos,p8,1,TRUE,A
232,gos,g7ax1a,gos,p8,0,TRUE,A
